movie_id,person_id,role_type,character_name
112,947,actor,Gage
112,948,actor,Gage
112,949,actor,Victor Pascow
112,950,actor,Zelda
112,951,actor,Marcella
112,952,actor,Rachel's Father
112,953,director,
112,954,director,
113,955,actor,Sullivan
113,956,actor,Henshaw
113,957,actor,Cpl. Randolph
113,958,actor,Pvt. Hobbs
113,959,actor,Pvt. McBain
113,960,actor,Coleman
113,961,actor,Lt. Fuller
113,962,actor,Boulanger
113,963,actor,Lone Star
113,964,actor,Mitchell
113,965,director,
114,966,"actor,director",Travis Brooks
114,967,actor,Nate Conway
114,968,actor,Chris Conway
114,969,actor,Jen Lilly
114,970,actor,Officer Domain
114,971,actor,Officer Radley
114,972,actor,Bill Brooks
114,973,actor,Dr. Mitas
114,974,actor,Darren Summers
114,975,actor,Rachel Redwood
114,976,director,
115,977,actor,Bouncer
115,978,actor,Shuttle Pilot
115,979,actor,Maintenance Manager
115,980,actor,Bob Van Horus
115,981,actor,Widow #2
115,982,actor,Testifying Miner
115,983,actor,Worker #1
115,984,actor,Sentry
115,985,actor,Sander
115,986,actor,Roelf Visser
115,987,director,
116,988,actor,Greg
116,989,actor,Grace Jiang
116,990,actor,Mrs. Jiang
116,991,actor,Mark
116,992,actor,Mr. Jiang
116,993,actor,May
116,994,actor,Tori
116,995,actor,Zara
116,996,actor,Ahmed
116,997,actor,Chuin
116,998,director,
116,999,director,
117,1000,actor,Buddy Bolden
117,1001,actor,Bartley
117,1002,actor,Judge Perry
117,1003,actor,Pat McMurphy
117,1004,actor,Nora Bolden
117,1005,actor,Louis Armstrong
117,1006,actor,George Baquet
117,681,actor,Alice Bolden
117,1007,actor,Ida Bass
117,1008,actor,Grace
117,1009,director,
118,1010,"actor,director",Thorny
118,1011,actor,Farva
118,1012,actor,Mac
118,1013,actor,Foster
118,1014,actor,Trooper Callaghan
118,1015,actor,Bus Driver
118,1016,actor,Rabbit
118,1017,actor,Trooper Wagner
118,1018,actor,Captain O'Hagan
118,1019,actor,Ursula
119,1020,actor,Diana Dahlan
119,1021,actor,Karim
119,1022,actor,Investigating Officer Talib
119,1023,actor,Danni
119,1024,actor,Datuk Jeffri
119,1025,actor,Nadia
119,1026,actor,Angus Lim
119,1027,actor,Fadzli
119,1028,actor,Shah
119,1029,actor,Daud
119,1030,director,
120,1031,actor,Frank Wolff
120,1032,actor,Lily Houghton
120,1033,actor,Aguirre
120,1034,actor,MacGregor Houghton
120,1035,actor,Prince Joachim
120,1036,actor,Nilo
120,1037,actor,Trader Sam
120,1038,actor,Sancho
120,1039,actor,Melchor
120,1040,actor,Gonzalo
120,1041,director,
121,1042,actor,Atwood
121,1043,actor,General West
121,1044,actor,Lieutenant Colonel Dunst
121,1045,actor,Mika
121,1046,actor,Willard
121,1047,actor,General Boyt
121,1048,actor,General Chesterson
121,1049,actor,Iosif
121,1050,actor,Turkish Kid
121,1051,actor,The Old Man
121,1052,director,
122,1057,director,
123,1058,actor,Jimmy Callahan
123,1058,actor,Bic
123,1059,actor,Doug Harris
123,1060,actor,Gretchen Palmer
123,1061,actor,Reggie
123,1061,actor,Drysdale
123,1062,actor,Lurch
123,1062,actor,Garvey
123,1063,actor,Bronstein
123,1063,actor,Dickerson
123,1064,actor,Otis
123,1064,actor,Alzado
123,1065,actor,Ed Palmer
123,1066,actor,Fitzgibbons
123,1066,actor,Plunkett
